runtime_minutes,voltage_V,capacity_percent
0.0,0.000,25.2
1.0,3.445,32.9
2.0,3.442,32.6
3.0,3.440,32.5
4.0,3.437,32.0
5.0,3.435,31.8
6.0,3.433,31.6
7.0,3.430,31.2
8.0,3.431,31.3
9.0,3.424,30.5
10.0,3.424,30.4
11.0,3.420,29.8
12.0,3.418,29.7
13.0,3.419,29.7
14.0,3.415,29.2
15.0,3.415,29.2
16.0,3.413,29.0
17.0,3.409,28.5
18.0,3.407,28.2
19.0,3.405,27.9
20.0,3.402,27.4
21.0,3.401,27.5
22.0,3.397,26.9
23.0,3.396,26.9
24.0,3.395,26.6
25.0,3.391,26.3
26.0,3.389,25.9
27.0,3.387,25.7
28.0,3.388,25.7
29.0,3.385,25.4
30.0,3.383,25.2
31.0,3.383,25.1
32.0,3.381,24.9
33.0,3.377,24.5
34.0,3.379,24.6
35.0,3.379,24.6
36.0,3.376,24.2
37.0,3.374,23.9
38.0,3.371,23.6
39.0,3.372,23.8
40.0,3.373,23.9
41.0,3.371,23.7
42.0,3.371,23.6
43.0,3.369,23.3
44.0,3.368,23.3
45.0,3.369,23.3
46.0,3.367,23.1
47.0,3.365,22.9
48.0,3.365,22.8
49.0,3.364,22.7
50.0,3.362,22.5
51.0,3.358,22.1
52.0,3.359,22.1
53.0,3.360,22.1
54.0,3.356,21.9
55.0,3.356,21.8
56.0,3.353,21.6
57.0,3.352,21.5
58.0,3.351,21.5
59.0,3.349,21.3
60.0,3.349,21.3
61.0,3.346,21.1
62.0,3.346,21.0
63.0,3.344,20.8
64.0,3.340,20.5
65.0,3.340,20.4
66.0,3.334,20.0
67.0,3.333,19.9
68.0,3.334,20.1
69.0,3.332,19.8
70.0,3.330,19.6
71.0,3.327,19.4
72.0,3.323,19.0
73.0,3.323,19.0
74.0,3.318,18.7
75.0,3.316,18.6
76.0,3.313,18.2
77.0,3.308,17.7
78.1,3.303,17.4
79.1,3.302,17.2
80.1,3.297,16.8
81.1,3.290,16.2
82.1,3.283,15.8
83.1,3.276,15.4
84.1,3.269,15.0
85.1,3.266,14.8
86.1,3.257,14.2
87.1,3.250,13.8
88.1,3.241,13.3
89.1,3.234,13.0
90.1,3.228,12.7
91.1,3.219,12.3
92.1,3.214,12.1
93.1,3.209,11.9
94.1,3.198,11.5
95.1,3.194,11.2
96.1,3.188,11.0
97.1,3.181,10.7
98.1,3.176,10.5
99.1,3.170,10.2
100.1,3.165,10.1
101.1,3.159,10.0
102.1,3.153,9.8
103.1,3.145,9.6
104.1,3.137,9.4
105.1,3.129,9.3
106.1,3.127,9.2
107.1,3.120,9.0
108.1,3.113,8.8
109.1,3.106,8.7
110.1,3.099,8.5
111.1,3.092,8.4
112.1,3.086,8.2
113.1,3.079,8.0
114.1,3.072,7.9
115.1,3.065,7.7
116.1,3.059,7.6
117.1,3.051,7.4
118.1,3.044,7.2
119.1,3.036,7.0
